World Cup,Player,Team,"Goals
scored","Matches
played"
Uruguay 1930,Guillermo Stábile,Argentina,8,4
Italy 1934,Oldřich Nejedlý,Czechoslovakia,5,4
France 1938,Leônidas,Brazil,7,4
Brazil 1950,Ademir,Brazil,9,6
Switzerland 1954,Sándor Kocsis,Hungary,11,5
Sweden 1958,Just Fontaine,France,13,6
Chile 1962,Garrincha,Brazil,4,6
,Vavá,Brazil,4,6
,Leonel Sánchez,Chile,4,6
,Flórián Albert,Hungary,4,3
,Valentin Ivanov,Soviet Union,4,4
,Dražan Jerković,Yugoslavia,4,6
England 1966,Eusébio,Portugal,9,6
Mexico 1970,Gerd Müller,West Germany,10,6
West Germany 1974,Grzegorz Lato,Poland,7,7
Argentina 1978,Mario Kempes,Argentina,6,7
Spain 1982,Paolo Rossi,Italy,6,7
Mexico 1986,Gary Lineker,England,6,5
Italy 1990,Salvatore Schillaci,Italy,6,7
United States 1994,Hristo Stoichkov,Bulgaria,6,7
,Oleg Salenko,Russia,6,3
France 1998,Davor Šuker,Croatia,6,7
South Korea & Japan 2002,Ronaldo,Brazil,8,7
Germany 2006,Miroslav Klose,Germany,5,7
South Africa 2010,Thomas Müller,Germany,5,6
,Wesley Sneijder,Netherlands,7,7
,David Villa,Spain,7,7
,Diego Forlán,Uruguay,7,7
Brazil 2014,James Rodríguez,Colombia,6,5
Russia 2018,Harry Kane,England,6,6
Qatar 2022,Kylian Mbappé,France,8,7